name,service,suburb,address,phone,website,gbp_url,rating,review_count,has_website,has_ssl,has_schema,has_title,has_meta_desc,has_h1,word_count,mobile_ok,page_speed_score,opportunity_score,priority,status,scraped_at,source,signals
Efficient Pure Plumbing Heating & Cooling,plumber,Dandenong,,"
+61 3 9792 3261",,https://www.google.com/maps/place/Efficient+Pure+Plumbing+Heating+%26+Cooling/data=!4m7!3m6!1s0x6ad6396142afd4a1:0x2c497c6525a50d8a!8m2!3d-38.0097025!4d145.2128048!16s%2Fg%2F1tdd5dbg!19sChIJodSvQmE51moRig2lJWV8SSw?authuser=0&hl=en&rclk=1,5.0,1,False,False,False,False,False,False,0,False,0,30,Cold,New,2026-07-06T13:22:56.053053,google_maps,"{""no_website"": true, ""low_reviews"": true}"
ApexDrain Plumber of Dandenong,plumber,Dandenong,,"
+61 452 478 761",,https://www.google.com/maps/place/ApexDrain+Plumber+of+Dandenong/data=!4m7!3m6!1s0x4a4cf928838b4551:0x52ab817c90da2fea!8m2!3d-37.9915743!4d145.2182494!16s%2Fg%2F11nhq3dv_s!19sChIJUUWLgyj5TEoR6i_akHyBq1I?authuser=0&hl=en&rclk=1,0.0,0,False,False,False,False,False,False,0,False,0,30,Cold,New,2026-07-06T13:22:56.053073,google_maps,"{""no_website"": true, ""low_reviews"": true}"
Grade A Plumber Dandenong,plumber,Dandenong,,"
+61 3 4328 3710",,https://www.google.com/maps/place/Grade+A+Plumber+Dandenong/data=!4m7!3m6!1s0x6ad615c1d5aa828b:0x60a697b28c93dabf!8m2!3d-37.9813604!4d145.2111107!16s%2Fg%2F11zcnq9r3l!19sChIJi4Kq1cEV1moRv9qTjLKXpmA?authuser=0&hl=en&rclk=1,0.0,0,False,False,False,False,False,False,0,False,0,30,Cold,New,2026-07-06T13:22:56.053092,google_maps,"{""no_website"": true, ""low_reviews"": true}"
Blocked Drain Plumber Melbourne,plumber,Dandenong,,"
+61 480 813 378",,https://www.google.com/maps/place/Blocked+Drain+Plumber+Melbourne/data=!4m7!3m6!1s0x6003b8b3b0f104f5:0xc5190c6934a8b85e!8m2!3d-37.9725665!4d145.0531353!16s%2Fg%2F11z6q8s52v!19sChIJ9QTxsLO4A2ARXrioNGkMGcU?authuser=0&hl=en&rclk=1,5.0,25,False,False,False,False,False,False,0,False,0,20,Cold,New,2026-07-06T13:22:56.052925,google_maps,"{""no_website"": true}"
Flow Now Plumbing,plumber,Dandenong,,"
+61 410 924 363",,https://www.google.com/maps/place/Flow+Now+Plumbing/data=!4m7!3m6!1s0x24bfbb1c9160aed1:0x70ad1cae8afb8a77!8m2!3d-37.985596!4d145.2138904!16s%2Fg%2F11w95m2cyx!19sChIJ0a5gkRy7vyQRd4r7iq4crXA?authuser=0&hl=en&rclk=1,5.0,28,False,False,False,False,False,False,0,False,0,20,Cold,New,2026-07-06T13:22:56.052976,google_maps,"{""no_website"": true}"
Around Town Plumbing,plumber,Dandenong,,"
+61 3 7023 5494",,https://www.google.com/maps/place/Around+Town+Plumbing/data=!4m7!3m6!1s0x6ad613a72bd03edf:0x50b8585958b29958!8m2!3d-37.9960604!4d145.1955993!16s%2Fg%2F11pcnwrsvl!19sChIJ3z7QK6cT1moRWJmyWFlYuFA?authuser=0&hl=en&rclk=1,5.0,42,False,False,False,False,False,False,0,False,0,20,Cold,New,2026-07-06T13:22:56.052992,google_maps,"{""no_website"": true}"
Plumber Now,plumber,Dandenong,,"
+61 1800 995 994",,https://www.google.com/maps/place/Plumber+Now/data=!4m7!3m6!1s0x6ad613ba4986736d:0x77c534c0f484767a!8m2!3d-37.9987554!4d145.1825602!16s%2Fg%2F11h43ng5l1!19sChIJbXOGSboT1moRenaE9MA0xXc?authuser=0&hl=en&rclk=1,4.8,104,False,False,False,False,False,False,0,False,0,20,Cold,New,2026-07-06T13:22:56.053012,google_maps,"{""no_website"": true}"
Star plumbing group,plumber,Dandenong,,"
+61 411 698 458",,https://www.google.com/maps/place/Star+plumbing+group/data=!4m7!3m6!1s0xa4b8c7309fa420c3:0x9d832ac6e9869f72!8m2!3d-37.9725665!4d145.0531353!16s%2Fg%2F11yr_t27qq!19sChIJwyCknzDHuKQRcp-G6cYqg50?authuser=0&hl=en&rclk=1,5.0,28,False,False,False,False,False,False,0,False,0,20,Cold,New,2026-07-06T13:22:56.053021,google_maps,"{""no_website"": true}"
Clearwater Plumbing Services,plumber,Dandenong,,"
+61 417 762 124",,https://www.google.com/maps/place/Clearwater+Plumbing+Services/data=!4m7!3m6!1s0x6ad613ae6678541b:0xbef467b0aa8cd5ae!8m2!3d-38.0139786!4d145.2209194!16s%2Fg%2F11sqhz1nj4!19sChIJG1R4Zq4T1moRrtWMqrBn9L4?authuser=0&hl=en&rclk=1,4.7,140,False,False,False,False,False,False,0,False,0,20,Cold,New,2026-07-06T13:22:56.053046,google_maps,"{""no_website"": true}"
Vic Gas & Plumbing,plumber,Dandenong,,"
+61 403 065 069",,https://www.google.com/maps/place/Vic+Gas+%26+Plumbing/data=!4m7!3m6!1s0x6ad6159bb758e8f5:0x728bd5284a4a6449!8m2!3d-36.5699212!4d145.4691789!16s%2Fg%2F11pg08163r!19sChIJ9ehYt5sV1moRSWRKSijVi3I?authuser=0&hl=en&rclk=1,5.0,72,False,False,False,False,False,False,0,False,0,20,Cold,New,2026-07-06T13:22:56.053080,google_maps,"{""no_website"": true}"
MT Plumbing & Co,plumber,Dandenong,,"
+61 437 042 843",,https://www.google.com/maps/place/MT+Plumbing+%26+Co/data=!4m7!3m6!1s0x6ad61739ab24e3f1:0xcecae7a414dbf18!8m2!3d-37.9696799!4d145.2352485!16s%2Fg%2F11hyt6yhqn!19sChIJ8eMkqzkX1moRGL9NQXqu7Aw?authuser=0&hl=en&rclk=1,4.9,72,False,False,False,False,False,False,0,False,0,20,Cold,New,2026-07-06T13:22:56.053086,google_maps,"{""no_website"": true}"
Waterways Plumbing,plumber,Dandenong,,"
+61 1300 052 399",,https://www.google.com/maps/place/Waterways+Plumbing/data=!4m7!3m6!1s0xa4620be65e8f4d6b:0x6e04a85f12e713de!8m2!3d-38.1647778!4d145.0409331!16s%2Fg%2F11xkxggtxw!19sChIJa02PXuYLYqQR3hPnEl-oBG4?authuser=0&hl=en&rclk=1,5.0,40,False,False,False,False,False,False,0,False,0,20,Cold,New,2026-07-06T13:22:56.053100,google_maps,"{""no_website"": true}"
