name,service,suburb,address,phone,website,gbp_url,rating,review_count,has_website,has_ssl,has_schema,has_title,has_meta_desc,has_h1,word_count,mobile_ok,page_speed_score,opportunity_score,priority,status,scraped_at,source,signals
PRO PLUMBERS,plumber,Frankston,,"
+61 468 495 650",,https://www.google.com/maps/place/PRO+PLUMBERS/data=!4m7!3m6!1s0x43693620a0cd2805:0x3ea068ff3e0f2fcb!8m2!3d-38.1567545!4d144.9691469!16s%2Fg%2F11vkttkfsc!19sChIJBSjNoCA2aUMRyy8PPv9ooD4?authuser=0&hl=en&rclk=1,4.9,286,False,False,False,False,False,False,0,False,0,20,Cold,New,2026-07-06T13:20:30.743697,google_maps,"{""no_website"": true}"
Frankston Plumbing Group,plumber,Frankston,,"
+61 3 5925 6399",,https://www.google.com/maps/place/Frankston+Plumbing+Group/data=!4m7!3m6!1s0x43a914ae65312f79:0x6fa519061c5094d6!8m2!3d-38.1446281!4d145.120039!16s%2Fg%2F11vwdxs1nx!19sChIJeS8xZa4UqUMR1pRQHAYZpW8?authuser=0&hl=en&rclk=1,5.0,123,False,False,False,False,False,False,0,False,0,20,Cold,New,2026-07-06T13:20:30.743741,google_maps,"{""no_website"": true}"
NRJ Plumbing,plumber,Frankston,,,,https://www.google.com/maps/place/NRJ+Plumbing/data=!4m7!3m6!1s0x6ad67527278fd245:0x3da2d9c36f871927!8m2!3d-38.1579853!4d145.1234299!16s%2Fg%2F11hfjs9t4_!19sChIJRdKPJyd11moRJxmHb8PZoj0?authuser=0&hl=en&rclk=1,4.9,355,False,False,False,False,False,False,0,False,0,20,Cold,New,2026-07-06T13:20:30.743757,google_maps,"{""no_website"": true}"
Plumber Connect Melbourne,plumber,Frankston,,"
+61 400 842 164",,https://www.google.com/maps/place/Plumber+Connect+Melbourne/data=!4m7!3m6!1s0x6ad675056ace3525:0x2697b9bc0058b876!8m2!3d-38.1841416!4d145.1375618!16s%2Fg%2F11k6ttg8kz!19sChIJJTXOagV11moRdrhYALy5lyY?authuser=0&hl=en&rclk=1,5.0,53,False,False,False,False,False,False,0,False,0,20,Cold,New,2026-07-06T13:20:30.743767,google_maps,"{""no_website"": true}"
Kennedy Plumbing,plumber,Frankston,,"
+61 417 665 980",,https://www.google.com/maps/place/Kennedy+Plumbing/data=!4m7!3m6!1s0xdb9b001d5be731:0xc439fc072da5c08e!8m2!3d-38.0071308!4d145.1315013!16s%2Fg%2F11vl5rlqfx!19sChIJMedbHQCb2wARjsClLQf8OcQ?authuser=0&hl=en&rclk=1,4.9,68,False,False,False,False,False,False,0,False,0,20,Cold,New,2026-07-06T13:20:30.743776,google_maps,"{""no_website"": true}"
Bassett Plumbing,plumber,Frankston,,"
+61 415 568 115",,https://www.google.com/maps/place/Bassett+Plumbing/data=!4m7!3m6!1s0x6ad60b2e70c6cfeb:0x4245e30d818ef881!8m2!3d-38.145904!4d145.143509!16s%2Fg%2F11c209xchc!19sChIJ68_GcC4L1moRgfiOgQ3jRUI?authuser=0&hl=en&rclk=1,4.9,60,False,False,False,False,False,False,0,False,0,20,Cold,New,2026-07-06T13:20:30.743784,google_maps,"{""no_website"": true}"
L&H Plumbing Solutions,plumber,Frankston,,"
+61 435 012 114",,https://www.google.com/maps/place/L%26H+Plumbing+Solutions/data=!4m7!3m6!1s0xae3c4555441f7ea7:0xd784a21dd14746e3!8m2!3d-38.239323!4d145.0227168!16s%2Fg%2F11yl_w693p!19sChIJp34fRFVFPK4R40ZH0R2ihNc?authuser=0&hl=en&rclk=1,5.0,12,False,False,False,False,False,False,0,False,0,20,Cold,New,2026-07-06T13:20:30.743790,google_maps,"{""no_website"": true}"
Service Today Plumber Frankston,plumber,Frankston,,"
+61 480 025 418",,https://www.google.com/maps/place/Service+Today+Plumber+Frankston/data=!4m7!3m6!1s0xa526be8e6e854a5d:0x197cddb0804a338d!8m2!3d-38.1340237!4d145.1687179!16s%2Fg%2F11yjsz3qhh!19sChIJXUqFbo6-JqURjTNKgLDdfBk?authuser=0&hl=en&rclk=1,4.5,30,False,False,False,False,False,False,0,False,0,20,Cold,New,2026-07-06T13:20:30.743797,google_maps,"{""no_website"": true}"
Plumbworks,plumber,Frankston,,"
+61 488 727 684",,https://www.google.com/maps/place/Plumbworks/data=!4m7!3m6!1s0x6ad60b70b6651055:0xbf1de6766a831ed!8m2!3d-38.1452048!4d144.9565076!16s%2Fg%2F11r20h6s2j!19sChIJVRBltnAL1moR7TGoZmfe8Qs?authuser=0&hl=en&rclk=1,5.0,124,False,False,False,False,False,False,0,False,0,20,Cold,New,2026-07-06T13:20:30.743804,google_maps,"{""no_website"": true}"
Hughes Plumbing Group,plumber,Frankston,,"
+61 450 751 271",,https://www.google.com/maps/place/Hughes+Plumbing+Group/data=!4m7!3m6!1s0x6ad60b2585dd225f:0x63ead22dc0e94b39!8m2!3d-38.1667491!4d144.9724628!16s%2Fg%2F11sf0kz89g!19sChIJXyLdhSUL1moROUvpwC3S6mM?authuser=0&hl=en&rclk=1,4.8,18,False,False,False,False,False,False,0,False,0,20,Cold,New,2026-07-06T13:20:30.743810,google_maps,"{""no_website"": true}"
