source_query,category,location,name,address,phone,website,website_missing,rating,reviews,place_id,discovered_at,business_hours,business_type,maps_url,dedupe_key,first_seen_date,last_seen_date,scan_history,status_changes,duplicate_of,email,emails_found,contact_page_url,social_links,contact_confidence,owner_email_detected,has_complete_contact_info,analysis_status,has_chatbot,has_click_to_call,has_booking,tech_sophistication_score,lead_score,priority,score_reasons,phones_found,website_scraped_at,website_scrape_success,pipeline_stage,initial_contact_date,contact_method,followup_due_date,response_status,last_interaction,notes
"auto repair in Melbourne, VIC, Australia",auto repair,"Melbourne, VIC, Australia",JAX Tyres & Auto Prahran,"386 High St, Prahran VIC 3181, Australia",+61395147757,https://www.jaxtyres.com.au/tyre-stores/vic/prahran?utm_source=google&utm_medium=organic&utm_campaign=GMB&utm_content=PRA&utm_term=plcid_6673027113864107319,False,4.8,,0x6ad6682df34d5e6f:0,2026-06-15T21:00:56.532420+00:00,Tuesday7:45 AM–5 PMWednesday7:45 AM–5 PMThursday7:45 AM–5 PMFriday7:45 AM–5 PMSaturday7:45–11:30 AMSundayClosedMonday7:45 AM–5 PM,Tire shop,https://www.google.com/maps/place/JAX+Tyres+%26+Auto+Prahran/data=!4m7!3m6!1s0x6ad6682df34d5e6f:0x326a7c15360b74a2!8m2!3d-37.85315!4d145.001383!16s%2Fg%2F1tg6kptc!19sChIJb15N8y1o1moRonQLNhV8ajI?authuser=0&hl=en&rclk=1,1a6978b662250991b5e141a79ca0a75ee3c643502424e918a2e58f24821ddb11,2026-06-16,2026-06-16,['2026-06-16'],[],,,[],,{},low,True,False,ok,True,True,True,25,55,medium,Low-tech website | Email found (+15) | Phone found (+10) | Direct owner-like email (+10) | Complete contact info (+5),['+61395147757'],,False,cold,,,,no_response,,
"auto repair in Melbourne, VIC, Australia",auto repair,"Melbourne, VIC, Australia",Akira Motorworks,"1A Buckland St, Clayton VIC 3168, Australia",+61451400946,https://www.facebook.com/share/1GSp1YvTHG/?mibextid=wwXIfr,False,5.0,,0x6ad66b0056514345:0,2026-06-15T21:01:05.911657+00:00,Tuesday8:30 AM–7 PMWednesday8:30 AM–7 PMThursday8:30 AM–7 PMFriday8:30 AM–7 PMSaturday8:30 AM–7 PMSunday8:30 AM–7 PMMonday8:30 AM–7 PM,Mechanic,https://www.google.com/maps/place/Akira+Motorworks/data=!4m7!3m6!1s0x6ad66b0056514345:0x6b6069d15345cbd4!8m2!3d-37.922886!4d145.134398!16s%2Fg%2F11z7h07zfk!19sChIJRUNRVgBr1moR1MtFU9FpYGs?authuser=0&hl=en&rclk=1,d1c43f38cc8b0581e2d5ee6068ecd4f116406229535050deab40d227a2d00d5a,2026-06-16,2026-06-16,['2026-06-16'],[],,,[],https://www.facebook.com/contact,"{'facebook': 'https://www.facebook.com/people/Akira-Motorworks-Melbourne/61590013156385/', 'instagram': None, 'linkedin': None, 'twitter': None, 'youtube': None}",medium,False,False,ok,False,False,True,40,80,high,No chatbot | No click-to-call | Low-tech website | Phone found (+10),"['0832147598267', '0 0 500 100', '0451 400 946', '+61 451 400 946', '0 (1041485407']",2026-06-16T07:05:37+1000,True,cold,,,,no_response,,
"auto repair in Melbourne, VIC, Australia",auto repair,"Melbourne, VIC, Australia",Cox Auto Service Centre,"88 Buckhurst St, South Melbourne VIC 3205, Australia",+61390710560,https://coxauto.com.au/?utm_source=google&utm_medium=GMB&utm_campaign=website_button,False,4.6,,0x6ad667f9fc0a3125:0,2026-06-15T21:01:16.896383+00:00,Tuesday7 AM–5:30 PMWednesday7 AM–5:30 PMThursday7 AM–5:30 PMFriday7 AM–4:30 PMSaturdayClosedSundayClosedMonday7 AM–5:30 PM,Auto repair shop,https://www.google.com/maps/place/Cox+Auto+Service+Centre/data=!4m7!3m6!1s0x6ad667f9fc0a3125:0x155ed29baa011347!8m2!3d-37.8306527!4d144.950398!16s%2Fg%2F1tdb4f06!19sChIJJTEK_Pln1moRRxMBqpvSXhU?authuser=0&hl=en&rclk=1,e1feb67b11910d5c96610074e2fed7651948c49ecb8157477b1fdd59f7e91ce7,2026-06-16,2026-06-16,['2026-06-16'],[],,,[],,{},low,False,False,ok,False,True,True,35,55,medium,No chatbot | Low-tech website | Phone found (+10),['+61390710560'],,False,cold,,,,no_response,,
"auto repair in Melbourne, VIC, Australia",auto repair,"Melbourne, VIC, Australia",Richmond Auto Service,"56 Elizabeth St, Richmond VIC 3121, Australia",+61394290777,https://richmondauto.com.au/,False,4.7,,0x6ad642e5298b1667:0,2026-06-15T21:01:25.863058+00:00,Tuesday7 AM–5 PMWednesday7 AM–5 PMThursday7 AM–5 PMFriday7 AM–5 PMSaturdayClosedSundayClosedMonday7 AM–5 PM,Mechanic,https://www.google.com/maps/place/Richmond+Auto+Service/data=!4m7!3m6!1s0x6ad642e5298b1667:0xf638c5c46afb3690!8m2!3d-37.8113808!4d144.9938837!16s%2Fg%2F1tfpvdc0!19sChIJZxaLKeVC1moRkDb7asTFOPY?authuser=0&hl=en&rclk=1,1c052562adcd4691301bf520a928b91548a56935c13312cc0214a247c2178e62,2026-06-16,2026-06-16,['2026-06-16'],[],,,[],,{},low,False,False,ok,False,True,False,60,80,high,No chatbot | No booking flow | Email found (+15) | Phone found (+10) | Complete contact info (+5),['+61394290777'],,False,cold,,,,no_response,,
"auto repair in Melbourne, VIC, Australia",auto repair,"Melbourne, VIC, Australia",Care Plus Auto Services,"27 Racecourse Rd, North Melbourne VIC 3051, Australia",+61393296000,https://www.careplus.com.au/,False,4.6,,0x6ad65d21b02ac791:0,2026-06-15T21:01:32.494509+00:00,Tuesday7 AM–6 PMWednesday7 AM–6 PMThursday7 AM–6 PMFriday7 AM–6 PMSaturday9 AM–12 PMSundayClosedMonday7 AM–6 PM,Mechanic,https://www.google.com/maps/place/Care+Plus+Auto+Services/data=!4m7!3m6!1s0x6ad65d21b02ac791:0x3e76ac5c7d338d93!8m2!3d-37.789613!4d144.9410243!16s%2Fg%2F1td6mt2y!19sChIJkccqsCFd1moRk40zfVysdj4?authuser=0&hl=en&rclk=1,cab94183f529f4a566232e401cf1b8bd7bbf8f2728ed05fb5a517c7fbd13d663,2026-06-16,2026-06-16,['2026-06-16'],[],,,[],,{},low,False,False,ok,False,True,True,100,40,low,No chatbot | Phone found (+10),['+61393296000'],,False,cold,,,,no_response,,
"auto repair in Melbourne, VIC, Australia",auto repair,"Melbourne, VIC, Australia",City Service Mechanics,"146 Chetwynd St, North Melbourne VIC 3051, Australia",+61393288618,http://cityservicemechanics.com.au/,False,4.9,,0x6ad65d3ec03a6c61:0,2026-06-15T21:01:39.394865+00:00,Tuesday8 AM–5:30 PMWednesday8 AM–5:30 PMThursday8 AM–5:30 PMFriday8 AM–5:30 PMSaturdayClosedSundayClosedMonday8 AM–5:30 PM,Mechanic,https://www.google.com/maps/place/City+Service+Mechanics/data=!4m7!3m6!1s0x6ad65d3ec03a6c61:0x3860cf9b6db84444!8m2!3d-37.8041857!4d144.9527218!16s%2Fg%2F11bxdw2d66!19sChIJYWw6wD5d1moRRES4bZvPYDg?authuser=0&hl=en&rclk=1,dd60e800f39dd596cc58493fa012a116168688f4d35d3a9959f7bd8a527e397d,2026-06-16,2026-06-16,['2026-06-16'],[],,,[],,{},low,False,False,ok,False,False,True,60,85,high,No chatbot | No click-to-call | Email found (+15) | Phone found (+10) | Complete contact info (+5),['+61393288618'],,False,cold,,,,no_response,,
"auto repair in Melbourne, VIC, Australia",auto repair,"Melbourne, VIC, Australia",Ace Mechanics,"G F/430 Little Collins St, Melbourne VIC 3000, Australia",+611800223263,https://www.acemechanics.com.au/,False,4.6,,0x6ad65db4c29c87ef:0,2026-06-15T21:01:47.299694+00:00,Tuesday7:30 AM–5:30 PMWednesday7:30 AM–5:30 PMThursday7:30 AM–5:30 PMFriday7:30 AM–5:30 PMSaturday7:30 AM–5:30 PMSunday9 AM–3 PMMonday7:30 AM–5:30 PM,Mechanic,https://www.google.com/maps/place/Ace+Mechanics/data=!4m7!3m6!1s0x6ad65db4c29c87ef:0xedf5e3d97ec99480!8m2!3d-37.8159566!4d144.9601522!16s%2Fg%2F11rclq4cwy!19sChIJ74ecwrRd1moRgJTJftnj9e0?authuser=0&hl=en&rclk=1,b5833c23c0dd8f8b69adefc543c8d3cd31de05c7e5377daef2b9c1cd5b065a6f,2026-06-16,2026-06-16,['2026-06-16'],[],,,[],https://www.acemechanics.com.au/contact,"{'facebook': None, 'instagram': None, 'linkedin': None, 'twitter': None, 'youtube': None}",medium,False,False,ok,False,True,False,60,60,medium,No chatbot | No booking flow | Phone found (+10),"['0 0 320 512', '063 0 0 0 0-29', '0 0 576 512', '0 0 640 512', '0 224 0 96 57', '0 0 1000 1000', '0 0 384 512', '0 0 512 512', '0 0 1000 100', '+611800223263']",2026-06-16T07:07:45+1000,True,cold,,,,no_response,,
"auto repair in Melbourne, VIC, Australia",auto repair,"Melbourne, VIC, Australia",Valiance,"126 Thistlethwaite St, South Melbourne VIC 3205, Australia",+61396961619,https://www.valiance.com.au/,False,4.2,,0x6ad667f0a15ebb3f:0,2026-06-15T21:01:56.569322+00:00,Tuesday7 AM–6 PMWednesday7 AM–6 PMThursday7 AM–6 PMFriday7 AM–6 PMSaturdayClosedSundayClosedMonday7 AM–6 PM,Mechanic,https://www.google.com/maps/place/Valiance/data=!4m7!3m6!1s0x6ad667f0a15ebb3f:0x2830bbe8b61826f6!8m2!3d-37.8324056!4d144.9497894!16s%2Fg%2F1vg6twq4!19sChIJP7teofBn1moR9iYYtui7MCg?authuser=0&hl=en&rclk=1,ef61fd1e14dc6deb562c8ddef2faedf9497592fd5dccdaa8fe39457cc55f8d7d,2026-06-16,2026-06-16,['2026-06-16'],[],,,[],https://www.valiance.com.au/contact,"{'facebook': 'https://www.facebook.com/Valiance-615786791808322/', 'instagram': None, 'linkedin': None, 'twitter': None, 'youtube': None}",medium,False,False,ok,False,True,True,55,40,low,No chatbot | Phone found (+10),"['03)96961619', '+0152-0153', '+0370-0377', '+0490-0491', '+61396961619']",2026-06-16T07:08:05+1000,True,cold,,,,no_response,,
"auto repair in Melbourne, VIC, Australia",auto repair,"Melbourne, VIC, Australia",Midas South Melbourne Tyre & Auto Service,"5-7 Eastern Rd, South Melbourne VIC 3205, Australia",+61396992540,https://www.midas.com.au/stores/midas-south-melbourne/?utm_source=google&utm_medium=organic&utm_campaign=Google%20My%20Business&utm_content=Midas%20South%20Melbourne&utm_term=plcid_7630767709994362655,False,4.7,,0x6ad642aa7b2718d7:0,2026-06-15T21:02:05.191828+00:00,Tuesday8 AM–5 PMWednesday8 AM–5 PMThursday8 AM–5 PMFriday8 AM–5 PMSaturdayClosedSundayClosedMonday8 AM–5 PM,Car repair and maintenance service,https://www.google.com/maps/place/Midas+South+Melbourne+Tyre+%26+Auto+Service/data=!4m7!3m6!1s0x6ad642aa7b2718d7:0x581cc77ba8474b84!8m2!3d-37.8311359!4d144.9644732!16s%2Fg%2F1tdm_n3l!19sChIJ1xgne6pC1moRhEtHqHvHHFg?authuser=0&hl=en&rclk=1,338c93c3502b4a6817f9ab75e91cf0874673637823f80e8162ace64e011080df,2026-06-16,2026-06-16,['2026-06-16'],[],,,[],https://www.midas.com.au/contact,"{'facebook': 'https://www.facebook.com/MidasTyreAutoService', 'instagram': 'https://www.instagram.com/midasau/?hl=en', 'linkedin': None, 'twitter': None, 'youtube': 'https://www.youtube.com/channel/UCcf3MsWQFFeaarZGvTDbC5w'}",medium,False,False,ok,False,True,False,45,80,high,No chatbot | No booking flow | Email found (+15) | Phone found (+10) | Complete contact info (+5),"['03) 9699 2540', '+61396992540']",2026-06-16T07:08:21+1000,True,cold,,,,no_response,,
"auto repair in Melbourne, VIC, Australia",auto repair,"Melbourne, VIC, Australia",Advance Automotive,"84-86 Stanley St, West Melbourne VIC 3003, Australia",+61393281454,https://www.advanceautomotive.com.au/,False,4.9,,0x6ad65d3f32912511:0,2026-06-15T21:02:13.453575+00:00,Tuesday8 AM–5 PMWednesday8 AM–5 PMThursday8 AM–5 PMFriday8 AM–5 PMSaturdayClosedSundayClosedMonday8 AM–5 PM,Car repair and maintenance service,https://www.google.com/maps/place/Advance+Automotive/data=!4m7!3m6!1s0x6ad65d3f32912511:0x183fa1f14c309cec!8m2!3d-37.807838!4d144.949299!16s%2Fg%2F11clzk9dxc!19sChIJESWRMj9d1moR7JwwTPGhPxg?authuser=0&hl=en&rclk=1,ee958ffffed7d77d4dc4c520a1a652c32f13d0f2c1edba52483e49dd5c94ea6c,2026-06-16,2026-06-16,['2026-06-16'],[],,,[],https://www.advanceautomotive.com.au/contact,"{'facebook': None, 'instagram': None, 'linkedin': None, 'twitter': None, 'youtube': None}",medium,False,False,ok,False,True,False,70,60,medium,No chatbot | No booking flow | Phone found (+10),"['03 9328 1454', '+61393281454']",2026-06-16T07:08:33+1000,True,cold,,,,no_response,,
